Date,Bull,Neutral,Bear
10-30-14,0.493711,0.295597,0.210692
10-23-14,0.496875,0.278125,0.225
10-16-14,0.42663,0.236413,0.336957
10-9-14,0.398773,0.291411,0.309816
10-2-14,0.354167,0.336806,0.309028
9-25-14,0.418367,0.29932,0.282313
9-18-14,0.42236,0.347826,0.229814
9-11-14,0.403846,0.330128,0.266026
9-4-14,0.446746,0.313609,0.239645
8-28-14,0.519231,0.288462,0.192308
8-21-14,0.461078,0.302395,0.236527
8-14-14,0.398119,0.332288,0.269592
8-7-14,0.308869,0.308869,0.382263
7-31-14,0.311224,0.377551,0.311224
7-24-14,0.296296,0.404321,0.299383
7-17-14,0.323625,0.391586,0.28479
7-10-14,0.376404,0.337079,0.286517
7-3-14,0.385075,0.391045,0.223881
6-26-14,0.372208,0.416873,0.210918
6-19-14,0.351744,0.406977,0.241279
6-12-14,0.446875,0.340625,0.2125
6-5-14,0.395062,0.382716,0.222222
5-29-14,0.364641,0.403315,0.232044
5-22-14,0.304348,0.431677,0.263975
5-15-14,0.33121,0.442675,0.226115
5-8-14,0.283439,0.429936,0.286624
5-1-14,0.297735,0.407767,0.294498
4-24-14,0.345029,0.394737,0.260234
4-17-14,0.272171,0.385321,0.342508
4-10-14,0.284768,0.374172,0.34106
4-3-14,0.353571,0.378571,0.267857
3-27-14,0.311615,0.402266,0.286119
3-20-14,0.367816,0.37069,0.261494
3-13-14,0.413408,0.318436,0.268156
3-6-14,0.405099,0.328612,0.266289
2-27-14,0.396907,0.391753,0.21134
2-20-14,0.422,0.35,0.228
2-13-14,0.401478,0.325123,0.273399
2-6-14,0.27896,0.356974,0.364066
1-30-14,0.321839,0.350575,0.327586
1-23-14,0.381201,0.381201,0.237598
1-16-14,0.38992,0.395225,0.214854
1-9-14,0.43617,0.31383,0.25
1-2-14,0.430894,0.276423,0.292683
12-26-13,0.550562,0.264045,0.185393
12-19-13,0.474576,0.274576,0.250847
12-12-13,0.412651,0.337349,0.25
12-5-13,0.426415,0.298113,0.275472
11-28-13,0.473016,0.244444,0.28254
11-21-13,0.343931,0.361272,0.294798
11-14-13,0.391975,0.333333,0.274691
11-7-13,0.454829,0.327103,0.218069
10-31-13,0.449664,0.33557,0.214765
10-24-13,0.492013,0.332268,0.175719
10-17-13,0.462783,0.288026,0.249191
10-10-13,0.413284,0.250923,0.335793
10-3-13,0.378378,0.320946,0.300676
9-26-13,0.360544,0.333333,0.306122
9-19-13,0.451128,0.25188,0.296992
9-12-13,0.45515,0.299003,0.245847
9-5-13,0.3553,0.3322,0.3125
8-29-13,0.335404,0.357143,0.307453
8-22-13,0.289575,0.281853,0.428571
8-15-13,0.34507,0.373239,0.28169
8-8-13,0.394984,0.338558,0.266458
8-1-13,0.356164,0.393836,0.25
7-25-13,0.451178,0.323232,0.225589
7-18-13,0.477352,0.310105,0.212544
7-11-13,0.489362,0.32766,0.182979
7-4-13,0.419929,0.341637,0.238434
6-27-13,0.302752,0.345566,0.351682
6-20-13,0.374532,0.325843,0.299625
6-13-13,0.32973,0.324324,0.345946
6-6-13,0.294737,0.315789,0.389474
5-30-13,0.359684,0.343874,0.296443
5-23-13,0.489726,0.294521,0.215753
5-16-13,0.384858,0.321767,0.293375
5-9-13,0.407942,0.31769,0.274368
5-2-13,0.309859,0.330986,0.359155
4-25-13,0.282895,0.328947,0.388158
4-18-13,0.268493,0.249315,0.482192
4-11-13,0.193103,0.262069,0.544828
4-4-13,0.35493,0.36338,0.28169
3-28-13,0.383954,0.329513,0.286533
3-21-13,0.389439,0.277228,0.333333
3-14-13,0.4542,0.2255,0.3203
3-7-13,0.310559,0.304348,0.385093
2-28-13,0.283912,0.350158,0.365931
2-21-13,0.417857,0.257143,0.325
2-14-13,0.422535,0.290141,0.287324
2-7-13,0.427673,0.27673,0.295597
1-31-13,0.480447,0.276536,0.243017
1-24-13,0.523392,0.233918,0.24269
1-17-13,0.439437,0.287324,0.273239
1-10-13,0.464497,0.266272,0.269231
1-3-13,0.387097,0.250896,0.362007
12-27-12,0.44403,0.253731,0.302239
12-20-12,0.464,0.288,0.248
12-13-12,0.432331,0.266917,0.300752
12-6-12,0.422222,0.231746,0.346032
11-28-12,0.409266,0.247104,0.343629
11-22-12,0.358156,0.234043,0.407801
11-15-12,0.288235,0.223529,0.488235
11-8-12,0.384977,0.215962,0.399061
11-1-12,0.357377,0.232787,0.409836
10-25-12,0.292453,0.27673,0.430818
10-18-12,0.286604,0.267913,0.445483
10-11-12,0.305755,0.305755,0.388489
10-4-12,0.338608,0.329114,0.332278
9-27-12,0.361011,0.274368,0.364621
9-20-12,0.375,0.287162,0.337838
9-13-12,0.364583,0.305556,0.329861
9-6-12,0.330579,0.338843,0.330579
8-30-12,0.347222,0.326389,0.326389
8-23-12,0.41958,0.321678,0.258741
8-16-12,0.368421,0.350877,0.280702
8-9-12,0.364706,0.361765,0.273529
8-2-12,0.304478,0.346269,0.349254
7-26-12,0.28115,0.28754,0.43131
7-19-12,0.2219,0.360231,0.417867
7-12-12,0.302251,0.350482,0.347267
7-5-12,0.3264,0.3403,0.3333
6-28-12,0.286689,0.269625,0.443686
6-21-12,0.328904,0.312292,0.358804
6-14-12,0.340351,0.301754,0.357895
6-7-12,0.27451,0.267974,0.457516
5-31-12,0.280156,0.299611,0.420233
5-24-12,0.304688,0.308594,0.386719
5-17-12,0.235821,0.304478,0.459701
5-10-12,0.253968,0.325397,0.420635
5-3-12,0.354015,0.361314,0.284672
